,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykgS,1.66786770692301,1.0,286208.0,No_gene_product,b4688,
ykgP,1.5336070358297222,2.0,309426.0,No_gene_product,b4630,
ldrA,1.6365001853108503,3.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.6065056804481148,3.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.8214463022944778,4.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
tfaQ,1.9263220885470325,5.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
hisL,1.2855997660696243,6.0,2083476.0,his operon leader peptide,b2018,
alaA,2.952264254170477,7.0,2401039.0,glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase,b2290,frozenset({<Reaction ALATA_L at 0x7fcfa6baccc0>})
yfbR,2.668774267744033,7.0,2402340.0,5'-nucleotidase,b2291,"frozenset({<Reaction NTD1 at 0x7fcfa6778c18>, <Reaction NTD5 at 0x7fcfa678a828>, <Reaction NTD8 at 0x7fcfa678ae10>, <Reaction NTD3 at 0x7fcfa678a4a8>, <Reaction NTD6 at 0x7fcfa678a9e8>, <Reaction NTD12 at 0x7fcfa678a0f0>})"
yfbS,2.9087219690572006,7.0,2402998.0,putative transporter,b2292,
yfbT,2.912719094774795,7.0,2404917.0,sugar phosphatas,b2293,
yfbU,2.7018613696645066,7.0,2405578.0,UPF0304 family protein,b2294,
yfbV,2.6903839508516243,7.0,2406400.0,UPF0208 family inner membrane protein,b2295,
ackA,2.7525853889548078,7.0,2406948.0,acetate kinase A and propionate kinase 2,b2296,frozenset({<Reaction ACKr at 0x7fcfa6bdb7f0>})
pta,2.706047679635503,7.0,2408448.0,phosphate acetyltransferase,b2297,"frozenset({<Reaction PTA2 at 0x7fcfa6676908>, <Reaction PTAr at 0x7fcfa6676a58>})"
yfcC,2.875937019858908,7.0,2410559.0,putative inner membrane transporter; C4-dicarboxylate anaerobic carrier family protein,b2298,
yfcD,2.5294336121955503,7.0,2412544.0,putative NUDIX hydrolase,b2299,
yfcE,2.7175527258909584,7.0,2412712.0,phosphodiesterase activity on bis-pNPP,b2300,
yfcF,2.818153096174483,7.0,2413319.0,glutathione S-transferase,b2301,
yfcG,2.9503194873083918,7.0,2414592.0,GSH-dependent disulfide bond oxidoreductase,b2302,
folX,2.898117645977615,7.0,2414803.0,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase",b2303,frozenset({<Reaction DHPTPE at 0x7fcfa6a64e10>})
yfcH,2.610831213391059,7.0,2415186.0,putative NAD-dependent nucleotide-sugar epimerase,b2304,
yfcI,3.0090632706198646,7.0,2416640.0,transposase_31 family protein,b2305,
hisP,2.7954990139529463,7.0,2417214.0,histidine ABC transporter ATPase,b2306,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction HISabcpp at 0x7fcfa69113c8>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
hisM,2.5775194178697163,7.0,2418688.0,histidine ABC transporter permease,b2307,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction HISabcpp at 0x7fcfa69113c8>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
hisQ,2.579416346841004,7.0,2418708.0,histidine ABC transporter permease,b2308,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction HISabcpp at 0x7fcfa69113c8>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
hisJ,2.9875850738671628,7.0,2419484.0,histidine ABC transporter periplasmic binding protein,b2309,frozenset({<Reaction HISabcpp at 0x7fcfa69113c8>})
argT,3.2096850737362796,7.0,2420736.0,lysine/arginine/ornithine transporter subunit,b2310,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
ubiX,2.8253080742098526,7.0,2421535.0,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,b2311,frozenset({<Reaction OPHBDC at 0x7fcfa673ea20>})
purF,2.674691327583786,7.0,2422199.0,amidophosphoribosyltransferase,b2312,frozenset({<Reaction GLUPRT at 0x7fcfa691da58>})
cvpA,2.851393193902276,7.0,2423753.0,colicin V production protein,b2313,
dedD,2.5368413018450804,7.0,2424832.0,membrane-anchored periplasmic protein involved in septation,b2314,
folC,2.717282606315482,7.0,2425152.0,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,b2315,frozenset({<Reaction DHFS at 0x7fcfa6a5aeb8>})
accD,3.0414026692847136,7.0,2426880.0,"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit",b2316,frozenset({<Reaction ACCOAC at 0x7fcfa6c4d6a0>})
tdcR,1.3830934599543563,8.0,3260928.0,L-threonine dehydratase operon activator protein,b3119,
yhdU,1.337442974027432,9.0,3405979.0,putative membrane protein,b3263,
tusA,1.3736137132280495,10.0,3602110.0,mnm(5)-s(2)U34-tRNA 2-thiolation sulfurtransferase,b3470,
nikE,1.4611770637125903,11.0,3611135.0,nickel ABC transporter ATPase,b3480,frozenset({<Reaction NI2uabcpp at 0x7fcfa675f940>})
yhhH,1.8395779804840011,11.0,3616768.0,putative NTF2 fold immunity protein for polymorphic toxin RhsB,b3483,
yrhC,1.4117536676439777,11.0,3617246.0,No_gene_product,b4552,
