,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
sgrT,1.3605545570445905,1.0,73874.0,inhibitor of glucose uptake,b4662,
ykfM,1.4980486725359947,2.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgL,1.3809539871806407,3.0,307822.0,uncharacterized protein,b0295,
ykgR,1.5064208113787019,3.0,308851.0,uncharacterized protein,b4671,
ykgQ,1.3607338492401373,3.0,313149.0,No_gene_product,b4631,
ybbC,1.487423602630385,4.0,523036.0,putative immunity protein,b0498,
borD,1.3453864198774113,5.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
ybcV,1.55770985152748,5.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.5631457563271751,6.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybfB,1.474995614044301,7.0,729231.0,putative membrane protein,b0702,
croE,1.4096831671986039,8.0,1198592.0,e14 prophage; putative DNA-binding transcriptional regulator,b1146,
iraM,1.8337069773044061,9.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ycgZ,1.459170992435176,9.0,1211392.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1164,
ymgI,1.4162052058784296,10.0,1218560.0,uncharacterized protein,b4593,
ldrA,1.7112479571031025,11.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.6184782382880079,11.0,1265693.0,"toxic polypeptide, small",b4423,
tpr,1.3259227042254127,12.0,1282560.0,protamine-like protein,b1229,
tfaR,1.8242584693144468,13.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
pinR,1.653137837505025,13.0,1427456.0,Rac prophage; putative site-specific recombinase,b1374,
ynaE,2.213788711830317,13.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ttcC,1.3642473736100111,13.0,1429248.0,No_gene_product,b4638,
ynbG,1.9541910164998262,14.0,1459456.0,uncharacterized protein,b4674,
yncH,1.7244294507774103,15.0,1521196.0,IPR020099 family protein,b1455,
ydcD,1.555765470812143,15.0,1524178.0,putative immunity protein for RhsE,b1457,
yddK,1.4074733701155042,16.0,1538640.0,No_gene_product,b1471,
sra,1.3353747685261148,17.0,1550082.0,stationary-phase-induced ribosome-associated protein,b1480,
safA,1.3470322258201413,18.0,1578018.0,"two-component system connector membrane protein, EvgSA to PhoQP",b1500,
ydfK,2.1694187095842734,19.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.8316620986273806,19.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
gnsB,1.3864746442800968,19.0,1631865.0,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,
cspB,1.41095226512244,20.0,1635595.0,Qin prophage; cold shock protein,b1557,
ydfA,1.331876671854695,21.0,1642764.0,Qin prophage; uncharacterized protein,b1571,
dicB,1.3682932581288691,21.0,1644032.0,Qin prophage; cell division inhibition protein,b1575,
yobI,1.588720951325004,22.0,1940371.0,uncharacterized protein,b4677,
wbbK,1.4663083636322485,23.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,frozenset({<Reaction O16GLCT1 at 0x7fcfa67311d0>})
wbbH,1.7079700473734103,23.0,2099540.0,O-antigen polymerase,b2035,"frozenset({<Reaction O16AP3pp at 0x7fcfa6724a90>, <Reaction O16AP1pp at 0x7fcfa6724a58>, <Reaction O16AP2pp at 0x7fcfa6724860>})"
ibsA,1.3750558805748823,24.0,2146829.0,toxic membrane protein,b4667,
yehK,1.3488447469524205,25.0,2197504.0,uncharacterized protein,b4541,
yohP,1.507167395847233,26.0,2222464.0,uncharacterized protein,b4679,
yfaH,1.4319666069096562,27.0,2343129.0,No_gene_product,b2238,
pmrD,1.3621467945307781,28.0,2366976.0,inactive two-component system connector protein,b2259,
yfbO,1.4593312355199797,29.0,2382113.0,uncharacterized protein,b2274,
yfdF,1.4756312199073427,30.0,2456490.0,uncharacterized protein,b2345,
gtrS,1.8205469908297918,31.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
ypdK,1.4051751907343175,32.0,2490399.0,inner membrane protein,b4680,
yfeS,1.413667387065897,33.0,2531328.0,WGR domain protein,b2420,
yffR,1.3412848497116527,34.0,2557338.0,CPZ-55 prophage; uncharacterized protein,b2449,
ypfM,1.5555698243684133,35.0,2584192.0,stress-induced small enterobacterial protein,b4606,
pheL,1.4318450826911358,36.0,2730957.0,pheA gene leader peptide,b2598,
yfjI,1.4442146569847127,37.0,2752512.0,CP4-57 prophage; uncharacterized protein,b2625,
yfjJ,1.3702736319756188,37.0,2753905.0,CP4-57 prophage; uncharacterized protein,b2626,
yfjW,1.6431577926377052,38.0,2766676.0,CP4-57 prophage; putative inner membrane protein,b2642,
ypjC,1.482019072947093,39.0,2777088.0,No_gene_product,b2650,
