,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
peaD,1.3383480828653296,1.0,561831.0,No_gene_product,b4508,
rimM,1.4719991467822844,2.0,2738728.0,ribosome maturation factor,b2608,
yfjU,1.3833009389034774,3.0,2765360.0,No_gene_product,b2638,
ypjJ,1.3978047766459465,4.0,2770432.0,uncharacterized protein,b4548,
srlR,1.442302880922251,5.0,2822405.0,sorbitol-inducible srl operon transcriptional repressor,b2707,
ppdA,1.4444653471961808,6.0,2957312.0,putative prepilin peptidase-dependent protein,b2826,
cptA,1.4429096502928371,7.0,3033774.0,toxin of CptAB toxin-antitoxin pair,b2896,
yhhH,1.8877682448837718,8.0,3616768.0,putative NTF2 fold immunity protein for polymorphic toxin RhsB,b3483,
yrhC,1.550317512292372,8.0,3617246.0,No_gene_product,b4552,
yhhI,2.1679843438399806,8.0,3618816.0,putative transposase,b3484,
yhhJ,2.755420895907627,8.0,3619038.0,putative ABC transporter permease,b3485,
rbbA,2.366103055682532,8.0,3620864.0,ribosome-associated ATPase: ATP-binding protein/ATP-binding membrane protein,b3486,
yhiI,2.3015117232177738,8.0,3622912.0,putative membrane fusion protein (MFP) of efflux pump,b3487,
yhiJ,2.2137080392392434,8.0,3624327.0,DUF4049 family protein,b3488,
yhiL,1.8871532928496093,8.0,3626211.0,No_gene_product,b4660,
yhiM,2.2840990249170896,8.0,3629056.0,"acid resistance protein, inner membrane",b3491,
yhiN,2.7285587292299667,8.0,3629567.0,putative oxidoreductase,b3492,
pitA,2.5502773019891514,8.0,3631001.0,"phosphate transporter, low-affinity; tellurite importer",b3493,frozenset({<Reaction PIt2rpp at 0x7fcfa669c978>})
uspB,2.4913098507781637,8.0,3632744.0,universal stress (ethanol tolerance) protein B,b3494,
uspA,2.2160642961990193,8.0,3633470.0,universal stress global response regulator,b3495,
dtpB,2.5460450493024163,8.0,3634221.0,dipeptide and tripeptide permease B,b3496,"frozenset({<Reaction LALADGLUtpp at 0x7fcfa68772b0>, <Reaction LALALGLUtpp at 0x7fcfa68773c8>})"
rsmJ,2.1635619457934627,8.0,3635739.0,"16S rRNA m(2)G1516 methyltransferase, SAM-dependent",b3497,
prlC,2.377438091119482,8.0,3637248.0,oligopeptidase A,b3498,
rlmJ,2.41893647857815,8.0,3639296.0,"23S rRNA m(6)A2030 methyltransferase, SAM-dependent",b3499,
gor,2.3281227197620615,8.0,3639658.0,glutathione oxidoreductase,b3500,frozenset({<Reaction GTHOr at 0x7fcfa68e0908>})
dinQ,2.228933842039181,8.0,3641088.0,"UV-inducible membrane toxin, DinQ-AgrB type I toxin-antitoxin system",b4613,
arsR,2.3935460414315473,8.0,3641887.0,arsenical resistance operon transcriptional repressor; autorepressor,b3501,
arsB,2.41694499791717,8.0,3643392.0,arsenite/antimonite transporter,b3502,frozenset({<Reaction ASO3t8pp at 0x7fcfa6b7bdd8>})
arsC,2.2332479503598357,8.0,3643596.0,arsenate reductase,b3503,frozenset({<Reaction ASR at 0x7fcfa6b162e8>})
slp,2.339087758995333,8.0,3647488.0,outer membrane lipoprotein,b3506,
dctR,2.2817279535376547,8.0,3648042.0,Putative LuxR family repressor for dicarboxylate transport,b3507,
yhiD,2.2899542002353246,8.0,3648614.0,"putative Mg(2+) transport ATPase, inner membrane protein",b3508,
hdeB,2.0909791920411784,8.0,3649536.0,acid-resistance protein,b3509,
hdeA,2.377818115014657,8.0,3650048.0,stress response protein acid-resistance protein,b3510,
hdeD,1.9998798833540397,8.0,3650354.0,acid-resistance membrane protein,b3511,
gadE,2.0342823305118793,8.0,3651725.0,gad regulon transcriptional activator,b3512,
mdtE,2.702572211774824,8.0,3653632.0,"anaerobic multidrug efflux transporter, ArcA-regulated",b3513,
mdtF,2.5841157803895203,8.0,3653773.0,"anaerobic multidrug efflux transporter, ArcA-regulated",b3514,
gadW,2.3245379785050733,8.0,3657728.0,transcriptional activator of gadA and gadBC; repressor of gadX,b3515,
gadX,2.3426638740177634,8.0,3658345.0,acid resistance regulon transcriptional activator; autoactivator,b3516,
gadA,2.8513554263432175,8.0,3659539.0,"glutamate decarboxylase A, PLP-dependent",b3517,frozenset({<Reaction GLUDC at 0x7fcfa691dba8>})
yhjA,2.100487355538162,8.0,3661824.0,putative cytochrome C peroxidase,b3518,
treF,2.6151567124271966,8.0,3662951.0,cytoplasmic trehalase,b3519,frozenset({<Reaction TREH at 0x7fcfa65cad68>})
yhjB,2.0313674931613273,8.0,3664651.0,putative DNA-binding transcriptional response regulator,b3520,
yhjC,2.5010239901139006,8.0,3665920.0,LysR family putative transcriptional regulator,b3521,
yhjD,2.433055965594579,8.0,3666721.0,inner membrane putative BrbK family alternate lipid exporter,b3522,
yhjE,2.5590643404250355,8.0,3668145.0,putative MFS transporter; membrane protein,b3523,
yhjG,2.329964356053279,8.0,3670016.0,putative inner membrane-anchored periplasmic AsmA family protein,b3524,
yhjH,2.4723369223880525,8.0,3672064.0,"cyclic-di-GMP phosphodiesterase, FlhDC-regulated",b3525,
kdgK,2.2602784617096767,8.0,3672778.0,2-dehydro-3-deoxygluconokinase,b3526,frozenset({<Reaction DDGLK at 0x7fcfa6ace518>})
yhjJ,2.514997995475232,8.0,3673803.0,putative periplasmic M16 family chaperone,b3527,
