,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykgM,1.3132387103974066,1.0,308224.0,50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein,b0296,
hha,1.334438039321005,2.0,475648.0,"modulator of gene expression, with H-NS",b0460,
ybeT,19.163889115984784,3.0,674307.0,Sel1 family TPR-like repeat protein,b0647,
ybeU,23.386528820028815,3.0,674963.0,DUF1266 family protein,b0648,
djlC,20.600072803169194,3.0,675667.0,J domain-containing HscC co-chaperone; Hsc56,b0649,
hscC,18.371821858719017,3.0,677178.0,Hsp70 family chaperone Hsc62; RpoD-binding transcription inhibitor,b0650,frozenset({<Reaction NTP1 at 0x7fcfa6717160>})
rihA,19.55480763404399,3.0,678932.0,ribonucleoside hydrolase 1,b0651,"frozenset({<Reaction URIH at 0x7fcfa6594748>, <Reaction CYTDH at 0x7fcfa6aa7748>})"
gltL,20.108007964200805,3.0,679985.0,glutamate/aspartate ABC transporter ATPase,b0652,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltK,18.830741173280035,3.0,680710.0,glutamate/aspartate ABC transporter permease,b0653,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltJ,18.596203161381364,3.0,681984.0,glutamate/aspartate ABC transporter permease,b0654,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltI,20.947688760367555,3.0,682294.0,glutamate/aspartate periplasmic binding protein,b0655,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
ldrC,1.335035203516036,4.0,1265693.0,"toxic polypeptide, small",b4423,
ynaJ,1.7146996999312274,5.0,1391621.0,DUF2534 family putative inner membrane protein,b1332,
uspE,1.667913034148728,5.0,1392640.0,stress-induced protein,b1333,
fnr,1.6584873459208724,5.0,1393030.0,oxygen-sensing anaerobic growth regulon transcriptional regulator FNR; autorepressor,b1334,
ogt,1.4804824417538651,5.0,1393977.0,O-6-alkylguanine-DNA:cysteine-protein methyltransferase,b1335,
abgT,1.5841318645593871,5.0,1394503.0,p-aminobenzoyl-glutamate transporter; membrane protein,b1336,
abgB,1.5796013527044719,5.0,1396066.0,"p-aminobenzoyl-glutamate hydrolase, B subunit",b1337,
