,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ykgS,1.5626583031226735,1.0,286208.0,No_gene_product,b4688,
ldrA,1.3716266876823133,2.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.2937149473179814,2.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.5600400793194724,3.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.6062389640139323,3.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.2932657887260806,4.0,1459456.0,uncharacterized protein,b4674,
ydcH,1.500830957215281,5.0,1492992.0,DUF465 family protein,b1426,
sra,1.3198728020362713,6.0,1550082.0,stationary-phase-induced ribosome-associated protein,b1480,
tfaQ,1.6279159323960208,7.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
pheM,1.3125657879134491,8.0,1793482.0,phenylalanyl-tRNA synthetase operon leader peptide,b1715,
wbbK,1.7218672931569017,9.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,['O16GLCT1']
wbbJ,1.7503315712226877,9.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,['O16AT']
wbbI,1.5809808330270785,9.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,['O16GALFT']
wbbH,1.7777711278502637,9.0,2099540.0,O-antigen polymerase,b2035,"['O16AP1pp', 'O16AP2pp', 'O16AP3pp']"
glf,1.6827448738073705,9.0,2101248.0,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",b2036,['UDPGALM']
wzxB,1.8982216161419703,9.0,2101817.0,putative polisoprenol-linked O-antigen transporter,b2037,['O16AUNDtpp']
rfbC,1.9104865970817604,9.0,2103296.0,"dTDP-4-deoxyrhamnose-3,5-epimerase",b2038,['TDPDRE']
rfbA,1.9790357679622108,9.0,2103618.0,glucose-1-phosphate thymidylyltransferase,b2039,['G1PTT']
rfbD,1.721477005927069,9.0,2105344.0,"dTDP-L-rhamnose synthase, NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit",b2040,['TDPDRR']
rfbB,1.7668190561094852,9.0,2105456.0,"dTDP-glucose 4,6 dehydratase, NAD(P)-binding",b2041,['TDPGDH']
wcaN,1.5998829623584627,9.0,2107392.0,putative regulatory subunit for GalU,b2042,
wcaM,1.6973848077799794,9.0,2107982.0,colanic acid biosynthesis protein,b2043,
wcaK,1.4670726861739927,9.0,2111488.0,colanic acid biosynthesis protein,b2045,['GALKr']
wzxC,1.536581564686795,9.0,2113536.0,putative colanic acid exporter,b2046,
wcaJ,1.4559920456906712,9.0,2113640.0,colanic biosynthesis UDP-glucose lipid carrier transferase,b2047,
cpsG,1.4611663509134234,9.0,2115089.0,phosphomannomutase,b2048,['PMANM']
wcaG,1.6114239402631325,9.0,2119705.0,bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase,b2052,"['GOFUCR', 'GDMANE']"
wcaF,1.6027077383318704,9.0,2121820.0,putative acyl transferase,b2054,
wcaE,1.5303028874381288,9.0,2122384.0,putative glycosyl transferase,b2055,
wcaD,1.767934682403491,9.0,2123776.0,putative colanic acid polymerase,b2056,
wcaB,1.5402392121308146,9.0,2125824.0,putative acyl transferase,b2058,
wcaA,1.6694069881716622,9.0,2126038.0,putative glycosyl transferase,b2059,
