,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
sgrT,1.4136263051926063,1.0,73874.0,inhibitor of glucose uptake,b4662,
yadK,1.4455979755972284,2.0,147489.0,putative fimbrial-like adhesin protein,b0136,
ykfM,1.538910763555319,3.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
dinJ,1.3923855493207673,4.0,242728.0,antitoxin of YafQ-DinJ toxin-antitoxin system,b0226,
ykfN,1.3113106641963914,5.0,258860.0,No_gene_product,b4626,
ykgS,1.8866617142025848,6.0,286208.0,No_gene_product,b4688,
yagL,1.4100864367338604,6.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,1.530639058672775,6.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ecpR,1.3913146482676058,7.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgR,1.7343299530210796,7.0,308851.0,uncharacterized protein,b4671,
ykgP,1.8373661843660478,7.0,309426.0,No_gene_product,b4630,
ykgQ,1.5033163806173857,7.0,313149.0,No_gene_product,b4631,
rclB,1.4687884707206618,7.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.6256267104086137,8.0,320406.0,putative inner membrane protein,b0310,
yaiA,1.3492875156375885,9.0,402434.0,OxyR-regulated conserved protein,b0389,
hha,1.4344212369802074,10.0,475648.0,"modulator of gene expression, with H-NS",b0460,
sfmZ,1.4449276276097676,11.0,559303.0,response regulator family protein,b0535,
ybcK,1.511027382301509,12.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcM,1.5179201218471805,12.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
borD,1.3584840980084738,13.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
ybcV,1.4761313616093321,13.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.460482692620261,14.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybeT,3.6610601848975577,15.0,674307.0,Sel1 family TPR-like repeat protein,b0647,
ybeU,3.481209170166626,15.0,674963.0,DUF1266 family protein,b0648,
djlC,3.2700883029850405,15.0,675667.0,J domain-containing HscC co-chaperone; Hsc56,b0649,
