,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykfM,1.5047590781700626,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgS,1.9049068122852324,2.0,286208.0,No_gene_product,b4688,
ykgR,1.5699710952546535,3.0,308851.0,uncharacterized protein,b4671,
ykgQ,1.4527517111536326,3.0,313149.0,No_gene_product,b4631,
yahO,1.3799301276966545,4.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
hha,1.349092616132669,5.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,1.3125859775139574,5.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
ybbC,1.3926493122744579,6.0,523036.0,putative immunity protein,b0498,
sfmZ,1.3190192312566023,7.0,559303.0,response regulator family protein,b0535,
ybcK,1.4192328547142277,8.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcM,1.35918820042822,8.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ybcV,1.5468599012948923,9.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.3980555044125575,10.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybfB,1.5806530459927453,11.0,729231.0,putative membrane protein,b0702,
ybfC,1.35647716641116,11.0,731136.0,putative secreted protein,b0704,
ybfQ,1.4116594166302905,11.0,731900.0,No_gene_product,b4514,
ymfE,1.4616090467376368,12.0,1192988.0,e14 prophage; putative inner membrane protein,b1138,
ymfI,1.3189509958937617,12.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
iraM,1.4216821365853762,13.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ariR,1.5209754379891662,14.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,1.378510101883395,14.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ymgI,1.3791319260698875,15.0,1218560.0,uncharacterized protein,b4593,
ldrA,1.6091995064598468,16.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.604817609463522,16.0,1265693.0,"toxic polypeptide, small",b4423,
ydaE,1.4244130431511728,17.0,1412096.0,"conserved protein, Rac prophage",b4526,
tfaR,1.5785001447653568,18.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,2.1214159787921423,18.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.5153396521835911,19.0,1459456.0,uncharacterized protein,b4674,
yncH,1.4129105055312534,20.0,1521196.0,IPR020099 family protein,b1455,
ydcD,1.444789590646248,20.0,1524178.0,putative immunity protein for RhsE,b1457,
yddK,1.3718023080073176,21.0,1538640.0,No_gene_product,b1471,
ydfK,2.2199364321380823,22.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.6101124016674144,22.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
gnsB,1.5325414923402338,22.0,1631865.0,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,
yobI,1.5115837404724557,23.0,1940371.0,uncharacterized protein,b4677,
wbbK,1.4042679233553335,24.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,frozenset({<Reaction O16GLCT1 at 0x7fcfa67311d0>})
wbbH,1.5429652210745863,24.0,2099540.0,O-antigen polymerase,b2035,"frozenset({<Reaction O16AP3pp at 0x7fcfa6724a90>, <Reaction O16AP1pp at 0x7fcfa6724a58>, <Reaction O16AP2pp at 0x7fcfa6724860>})"
glf,1.3784093917049174,24.0,2101248.0,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",b2036,frozenset({<Reaction UDPGALM at 0x7fcfa657f160>})
yegR,1.5615734435986242,25.0,2161664.0,uncharacterized protein,b2085,
gatB,1.298952413361663,26.0,2167808.0,galactitol-specific enzyme IIB component of PTS,b2093,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
yehE,1.3335883964985062,27.0,2186240.0,DUF2574 family protein,b2112,
yehK,1.37725030471818,27.0,2197504.0,uncharacterized protein,b4541,
yohP,1.510949625508238,28.0,2222464.0,uncharacterized protein,b4679,
elaD,1.5140879633347633,29.0,2376191.0,"protease, capable of cleaving an AMC-ubiquitin model substrate",b2269,
yfbO,1.3792187281380466,29.0,2382113.0,uncharacterized protein,b2274,
yfdF,1.531316060561862,30.0,2456490.0,uncharacterized protein,b2345,
gtrA,1.3553253970521557,30.0,2461333.0,CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase/flippase,b2350,
gtrS,1.7512868871836604,30.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
tfaS,1.3399311831324243,30.0,2464293.0,No_gene_product,b2353,
ypdI,1.3943822227590672,31.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
