,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
hokC,1.349158393876706,1.0,16896.0,"toxic membrane protein, small",b4412,
ykfN,1.4627397535413462,2.0,258860.0,No_gene_product,b4626,
ykgQ,1.356426306390913,3.0,313149.0,No_gene_product,b4631,
peaD,1.4537850540250765,4.0,561831.0,No_gene_product,b4508,
ylcI,1.3379186110891583,5.0,575706.0,"DUF3950 family protein, DLP12 prophage",b4589,
rihA,46.893871108129964,6.0,678932.0,ribonucleoside hydrolase 1,b0651,"['CYTDH', 'URIH']"
gltL,46.93754365387617,6.0,679985.0,glutamate/aspartate ABC transporter ATPase,b0652,"['ASPabcpp', 'GLUabcpp']"
gltK,45.3268285951783,6.0,680710.0,glutamate/aspartate ABC transporter permease,b0653,"['ASPabcpp', 'GLUabcpp']"
gltJ,43.318271647794475,6.0,681984.0,glutamate/aspartate ABC transporter permease,b0654,"['ASPabcpp', 'GLUabcpp']"
gltI,48.143730600854845,6.0,682294.0,glutamate/aspartate periplasmic binding protein,b0655,"['ASPabcpp', 'GLUabcpp']"
tfaR,1.7608739790059862,7.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
tfaQ,1.7365609285751842,8.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
dicA,1.3857611875218683,9.0,1642496.0,Qin prophage; putative regulator for DicB,b1570,
wbbJ,1.6149791592236844,10.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,['O16AT']
wbbI,1.523430130421655,10.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,['O16GALFT']
rfbC,1.601903710914971,10.0,2103296.0,"dTDP-4-deoxyrhamnose-3,5-epimerase",b2038,['TDPDRE']
rfbA,1.6896034745562836,10.0,2103618.0,glucose-1-phosphate thymidylyltransferase,b2039,['G1PTT']
rfbD,1.6698057261696537,10.0,2105344.0,"dTDP-L-rhamnose synthase, NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit",b2040,['TDPDRR']
rfbB,1.5800908433346696,10.0,2105456.0,"dTDP-glucose 4,6 dehydratase, NAD(P)-binding",b2041,['TDPGDH']
wcaN,1.5049765288467418,10.0,2107392.0,putative regulatory subunit for GalU,b2042,
wcaM,1.4138778612671237,10.0,2107982.0,colanic acid biosynthesis protein,b2043,
wcaK,1.431819436056923,10.0,2111488.0,colanic acid biosynthesis protein,b2045,['GALKr']
wcaH,1.4516296786763931,11.0,2119680.0,GDP-mannose mannosyl hydrolase,b2051,['GDPMNH']
wzc,1.4387781410564342,12.0,2126970.0,colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase,b2060,
yegH,1.418240765776036,12.0,2131382.0,inner membrane protein,b2063,
