,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
rpsT,1.521395473368802,1.0,20992.0,30S ribosomal subunit protein S20,b0023,
ykgS,1.550858134503733,2.0,286208.0,No_gene_product,b4688,
rclB,1.3793539058936872,3.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ymfE,1.524887424813426,4.0,1192988.0,e14 prophage; putative inner membrane protein,b1138,
xisE,1.5983387645109683,4.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymfI,1.4089279252448623,4.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
croE,1.389466918090302,4.0,1198592.0,e14 prophage; putative DNA-binding transcriptional regulator,b1146,
ymgJ,1.4639659187339227,5.0,1218719.0,uncharacterized protein,b4594,
ldrA,1.5707437047341117,6.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5626589944891567,6.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.7505418857888784,7.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ydbC,1.575550264174915,8.0,1468477.0,putative NAD(P)-binding oxidoreductase,b1406,
ydbD,1.686346500425451,8.0,1469400.0,PF10971 family putative periplasmic methylglyoxal resistance protein,b1407,
ynbA,1.5406278731908112,8.0,1471877.0,inner membrane protein,b1408,
ynbB,1.6746544421242144,8.0,1472512.0,putative CDP-diglyceride synthase,b1409,
ynbC,1.5544118805084182,8.0,1474560.0,putative esterase,b1410,
ynbD,1.7800811580213798,8.0,1475165.0,putative phosphatase inner membrane protein,b1411,
azoR,1.4456148032003133,8.0,1476608.0,"NADH-azoreductase, FMN-dependent",b1412,
hrpA,1.4550560907798398,8.0,1477317.0,putative ATP-dependent helicase,b1413,
ydcF,1.5198736177995635,8.0,1481491.0,"DUF218 superfamily protein, SAM-binding",b1414,
gapC,1.5089136130248713,8.0,1484800.0,No_gene_product,b4493,
cybB,1.9675326703058782,8.0,1485158.0,cytochrome b561,b1418,
ydcA,1.8539714159558944,8.0,1485933.0,putative periplasmic protein,b1419,
hokB,1.8174798217412866,8.0,1486178.0,"toxic polypeptide, small",b4428,
mokB,1.9041472555908574,8.0,1486336.0,regulatory peptide,b1420,
trg,1.7345763777805319,8.0,1486726.0,"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor",b1421,
ydcI,1.6743449916764197,8.0,1488896.0,putative DNA-binding transcriptional regulator,b1422,
ydcJ,1.4689836018039895,8.0,1489544.0,putative metalloenzyme,b1423,
opgD,1.457884162650035,8.0,1491112.0,OPG biosynthetic periplasmic protein,b1424,
ydcH,1.5206646995596476,8.0,1492992.0,DUF465 family protein,b1426,
ydcK,1.7958101704890785,8.0,1493725.0,uncharacterized protein,b1428,
tehA,1.4986352075230018,8.0,1495040.0,potassium-tellurite ethidium and proflavin transporter,b1429,
tehB,1.392502092892091,8.0,1495818.0,"tellurite, selenium methyltransferase, SAM-dependent; tellurite, selenium resistance protein",b1430,
ydcL,1.8206166685995828,8.0,1497088.0,lipoprotein,b1431,
insP,1.7024667337965569,8.0,1497474.0,No_gene_product,b4578,
insQ,1.5783766844327427,8.0,1497973.0,IS609 transposase B,b1432,
ydcO,1.4988628523638063,8.0,1499161.0,BenE family inner membrane putative transporter,b1433,
ydcN,1.5636771647019692,8.0,1500428.0,putative DNA-binding transcriptional regulator,b1434,
ydcP,1.5943387673467797,8.0,1501037.0,putative peptidase,b1435,
yncJ,1.5096778933254646,8.0,1503232.0,uncharacterized protein,b1436,
hicB,2.1494593952878844,8.0,1503764.0,antitoxin for the HicAB toxin-antitoxin system,b1438,
ydcR,1.4737409723451762,8.0,1504259.0,putative DNA-binding transcriptional regulator and putative aminotransferase,b1439,
ydcS,1.5806582080382463,8.0,1505910.0,putative ABC transporter periplasmic binding protein,b1440,"['PTRCabcpp', 'SPMDabcpp']"
ydcT,1.5526744115070101,8.0,1507328.0,putative ABC transporter ATPase,b1441,"['PTRCabcpp', 'SPMDabcpp']"
ydcV,1.9137097524947573,8.0,1509376.0,putative ABC transporter permease,b1443,"['PTRCabcpp', 'SPMDabcpp']"
patD,1.6739420524335036,8.0,1509834.0,gamma-aminobutyraldehyde dehydrogenase,b1444,['ABUTD']
yncL,1.9074141385061656,8.0,1511424.0,stress-induced small inner membrane enterobacterial protein,b4598,
ydcX,1.6574054263746145,8.0,1511645.0,DUF2566 family protein,b1445,
ydcY,1.5656974240537442,8.0,1511936.0,DUF2526 family protein,b1446,
mnaT,1.7972491128190273,8.0,1512584.0,methionine N-acyltransferase; L-amino acid N-acyltransferase,b1448,
ydfK,1.7375552646893586,9.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.885585420844787,9.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbK,1.7404786509446244,10.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,['O16GLCT1']
wbbJ,1.814047167508319,10.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,['O16AT']
wbbI,2.1271113416240444,10.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,['O16GALFT']
wbbH,1.746361544287909,10.0,2099540.0,O-antigen polymerase,b2035,"['O16AP1pp', 'O16AP2pp', 'O16AP3pp']"
glf,1.8793260473538953,10.0,2101248.0,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",b2036,['UDPGALM']
wzxB,1.830453915982075,10.0,2101817.0,putative polisoprenol-linked O-antigen transporter,b2037,['O16AUNDtpp']
rfbC,1.8527920477682462,10.0,2103296.0,"dTDP-4-deoxyrhamnose-3,5-epimerase",b2038,['TDPDRE']
rfbA,1.770141415486943,10.0,2103618.0,glucose-1-phosphate thymidylyltransferase,b2039,['G1PTT']
rfbD,1.8256292096682012,10.0,2105344.0,"dTDP-L-rhamnose synthase, NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit",b2040,['TDPDRR']
rfbB,1.8238264022364044,10.0,2105456.0,"dTDP-glucose 4,6 dehydratase, NAD(P)-binding",b2041,['TDPGDH']
wcaN,1.6786555955741553,10.0,2107392.0,putative regulatory subunit for GalU,b2042,
wcaM,1.6112790261466048,10.0,2107982.0,colanic acid biosynthesis protein,b2043,
wzxC,1.5389614928919912,10.0,2113536.0,putative colanic acid exporter,b2046,
wcaJ,1.5126887789640717,10.0,2113640.0,colanic biosynthesis UDP-glucose lipid carrier transferase,b2047,
cpsB,1.4972777281425564,10.0,2116564.0,mannose-1-phosphate guanyltransferase,b2049,['MAN1PT2']
wcaI,1.5598259489663449,10.0,2118003.0,putative glycosyl transferase,b2050,
wcaH,1.6240046208692687,10.0,2119680.0,GDP-mannose mannosyl hydrolase,b2051,['GDPMNH']
gmd,1.481529019824772,10.0,2121728.0,"GDP-D-mannose dehydratase, NAD(P)-binding",b2053,['GMAND']
wcaF,1.7232133877799514,10.0,2121820.0,putative acyl transferase,b2054,
wcaE,1.4770890854008156,10.0,2122384.0,putative glycosyl transferase,b2055,
wcaD,1.6395655829938396,10.0,2123776.0,putative colanic acid polymerase,b2056,
wcaC,1.58891353628815,10.0,2124333.0,putative glycosyl transferase,b2057,
wcaA,1.6406582990034428,10.0,2126038.0,putative glycosyl transferase,b2059,
wzc,1.7826858174920874,10.0,2126970.0,colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase,b2060,
wzb,1.8927773793020757,10.0,2129135.0,colanic acid production protein-tyrosine-phosphatase; Wzc-P dephosphorylase,b2061,
