,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
thrL,1.3140280451364585,0.0,189.0,thr operon leader peptide,b0001,
rpsT,1.497927517809782,1.0,20992.0,30S ribosomal subunit protein S20,b0023,
ykfM,1.3833942155860748,2.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
hha,1.3454624979522838,3.0,475648.0,"modulator of gene expression, with H-NS",b0460,
ybcV,1.2856964276030858,4.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.3601266147249609,5.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
cspE,1.3900361283696963,6.0,652800.0,constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein,b0623,
ybeT,25.40958623602873,7.0,674307.0,Sel1 family TPR-like repeat protein,b0647,
ybeU,25.654511100668223,7.0,674963.0,DUF1266 family protein,b0648,
djlC,24.98619197076385,7.0,675667.0,J domain-containing HscC co-chaperone; Hsc56,b0649,
hscC,26.00303044100496,7.0,677178.0,Hsp70 family chaperone Hsc62; RpoD-binding transcription inhibitor,b0650,['NTP1']
rihA,24.767055498095193,7.0,678932.0,ribonucleoside hydrolase 1,b0651,"['CYTDH', 'URIH']"
gltL,26.904514261535006,7.0,679985.0,glutamate/aspartate ABC transporter ATPase,b0652,"['ASPabcpp', 'GLUabcpp']"
gltK,23.981438760282934,7.0,680710.0,glutamate/aspartate ABC transporter permease,b0653,"['ASPabcpp', 'GLUabcpp']"
gltJ,24.147483118914725,7.0,681984.0,glutamate/aspartate ABC transporter permease,b0654,"['ASPabcpp', 'GLUabcpp']"
gltI,24.53750731220666,7.0,682294.0,glutamate/aspartate periplasmic binding protein,b0655,"['ASPabcpp', 'GLUabcpp']"
