,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ldrA,1.4050396123810187,1.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.4885581281933506,1.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.654681433038876,2.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
azoR,1.4449040469432115,3.0,1476608.0,"NADH-azoreductase, FMN-dependent",b1412,
insP,1.3773167530820463,4.0,1497474.0,No_gene_product,b4578,
ydcT,1.4020045164045873,5.0,1507328.0,putative ABC transporter ATPase,b1441,"['PTRCabcpp', 'SPMDabcpp']"
ydcV,1.3377822786607585,5.0,1509376.0,putative ABC transporter permease,b1443,"['PTRCabcpp', 'SPMDabcpp']"
mnaT,1.4504016350810827,6.0,1512584.0,methionine N-acyltransferase; L-amino acid N-acyltransferase,b1448,
tfaQ,1.6274737601153753,7.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbJ,1.4948495105914115,8.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,['O16AT']
wbbI,1.4135715662824646,8.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,['O16GALFT']
wzxB,1.3713259356070389,8.0,2101817.0,putative polisoprenol-linked O-antigen transporter,b2037,['O16AUNDtpp']
rfbC,1.586806647154899,8.0,2103296.0,"dTDP-4-deoxyrhamnose-3,5-epimerase",b2038,['TDPDRE']
rfbA,1.482689328142539,8.0,2103618.0,glucose-1-phosphate thymidylyltransferase,b2039,['G1PTT']
rfbD,1.496726456778944,8.0,2105344.0,"dTDP-L-rhamnose synthase, NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit",b2040,['TDPDRR']
rfbB,1.5562145103812326,8.0,2105456.0,"dTDP-glucose 4,6 dehydratase, NAD(P)-binding",b2041,['TDPGDH']
wcaN,1.5280778878220447,8.0,2107392.0,putative regulatory subunit for GalU,b2042,
wcaM,1.460835018042826,8.0,2107982.0,colanic acid biosynthesis protein,b2043,
wcaK,1.410713651253079,8.0,2111488.0,colanic acid biosynthesis protein,b2045,['GALKr']
wcaD,1.4233888473546026,9.0,2123776.0,putative colanic acid polymerase,b2056,
wzb,1.6419086991262357,9.0,2129135.0,colanic acid production protein-tyrosine-phosphatase; Wzc-P dephosphorylase,b2061,
asmA,1.5565147878837198,9.0,2133239.0,suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein,b2064,
dcd,1.388293900634892,9.0,2135114.0,deoxycytidine triphosphate deaminase; dCTP deaminase,b2065,['DCTPD']
udk,1.4994349108352985,9.0,2136064.0,uridine/cytidine kinase,b2066,"['CYTDK2', 'URIK2']"
yegE,1.4157336363277593,9.0,2138112.0,putative diguanylate cyclase,b2067,
yegI,1.3767086004062414,9.0,2142519.0,protein kinase-related putative non-specific DNA-binding protein,b2070,
ibsB,1.399751661659195,9.0,2147200.0,toxic membrane protein,b4668,
yegP,1.4321855470086315,10.0,2158669.0,UPF0339 family protein,b2080,
ogrK,1.514339551112282,10.0,2160782.0,"orphan Ogr protein, positive regulator of P2 growth",b2082,
yegZ,1.5426446200212491,10.0,2161152.0,No_gene_product,b2083,
yegR,1.4510406753750849,10.0,2161664.0,uncharacterized protein,b2085,
gatC,1.3620822386228624,11.0,2166784.0,No_gene_product,b2092,['GALTptspp']
gatA,1.5133632932174408,11.0,2168075.0,galactitol-specific enzyme IIA component of PTS,b2094,['GALTptspp']
fbaB,1.4704012355565006,11.0,2170990.0,fructose-bisphosphate aldolase class I,b2097,['FBA']
