,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
thrL,1.6409750467670692,0.0,189.0,thr operon leader peptide,b0001,
hokC,1.4266678881982846,1.0,16896.0,"toxic membrane protein, small",b4412,
mokC,1.405653781730106,1.0,16896.0,"regulatory protein for HokC, overlaps CDS of hokC",b0018,
yabP,1.4487831571569134,2.0,58473.0,No_gene_product,b4659,
sgrT,1.32282388678794,3.0,73874.0,inhibitor of glucose uptake,b4662,
yadC,1.8122731392959053,4.0,146201.0,putative fimbrial-like adhesin protein,b0135,
yadK,1.8244516230748957,4.0,147489.0,putative fimbrial-like adhesin protein,b0136,
yadM,1.4820395747653077,4.0,148729.0,putative fimbrial-like adhesin protein,b0138,
htrE,1.4596943227693642,4.0,149315.0,putative outer membrane usher protein,b0139,
yadN,1.8209009673631358,4.0,152785.0,putative fimbrial-like adhesin protein,b0141,
gloB,1.527090393642222,5.0,230513.0,hydroxyacylglutathione hydrolase,b0212,frozenset({<Reaction GLYOX at 0x7fcfa6946978>})
ykfM,2.592931953829903,5.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
yafU,1.7415513892047056,5.0,235520.0,No_gene_product,b0218,
yafQ,1.751609949200881,6.0,242688.0,mRNA interferase toxin of toxin-antitoxin pair YafQ/DinJ,b0225,
dinJ,1.6696613629327302,6.0,242728.0,antitoxin of YafQ-DinJ toxin-antitoxin system,b0226,
yafN,1.4674556701727977,7.0,248491.0,antitoxin of the YafO-YafN toxin-antitoxin system,b0232,
yafO,1.4237481603495004,7.0,248787.0,mRNA interferase toxin of the YafO-YafN toxin-antitoxin system,b0233,
yafP,1.344723515098765,7.0,249195.0,GNAT family putative N-acetyltransferase,b0234,
ykfN,1.4902830455122822,8.0,258860.0,No_gene_product,b4626,
ykgS,1.893758007663174,9.0,286208.0,No_gene_product,b4688,
yagK,1.6232835732801678,9.0,288032.0,CP4-6 prophage; conserved protein,b0277,
yagL,1.8860134999399076,9.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,2.222309595078097,9.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
yagN,1.353491075553408,9.0,290849.0,CP4-6 prophage; uncharacterized protein,b0280,
ecpA,1.4016869868833768,10.0,305794.0,ECP pilin,b0293,
ecpR,1.7403222782402554,10.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgL,1.4776242797983283,10.0,307822.0,uncharacterized protein,b0295,
ykgO,1.5102329435909891,10.0,308224.0,RpmJ-like protein,b4506,
ykgM,1.5064335114525123,10.0,308224.0,50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein,b0296,
ykgR,2.417650869188783,10.0,308851.0,uncharacterized protein,b4671,
ykgP,2.3115818608632854,10.0,309426.0,No_gene_product,b4630,
ykgQ,1.664265908246719,10.0,313149.0,No_gene_product,b4631,
rclC,1.5875101752172323,10.0,313436.0,reactive chlorine species (RCS) stress resistance inner membrane protein,b0301,
rclB,2.3878067032982373,10.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.921129620060039,11.0,320406.0,putative inner membrane protein,b0310,
yahL,1.819988505739549,12.0,339968.0,uncharacterized protein,b0326,
yahO,1.522005419445906,12.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
yaiV,1.8619391795602143,13.0,389961.0,putative transcriptional regulator,b0375,
iraP,1.5969598111927745,14.0,396841.0,"anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein",b0382,
hha,1.6100751404218787,15.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,1.861978872357058,15.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
ybbC,1.6492952015356197,16.0,523036.0,putative immunity protein,b0498,
rhsH,1.7613807579416252,16.0,523407.0,No_gene_product,b0499,
ybbD,2.215114274440213,16.0,524288.0,No_gene_product,b0501,
ylbI,1.569361908701415,16.0,524955.0,No_gene_product,b4632,
sfmA,1.7361236218997989,17.0,553667.0,"FimA homolog, function unknown",b0530,
sfmC,1.5760442808571764,17.0,555008.0,putative periplasmic pilus chaperone,b0531,
sfmZ,1.8780152931658072,17.0,559303.0,response regulator family protein,b0535,
emrE,1.9704238844478543,18.0,563770.0,DLP12 prophage; multidrug resistance protein,b0543,
ybcK,2.320850035874299,18.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcL,1.85653554894159,18.0,566348.0,inactive polymorphonuclear leukocyte migration suppressor; DLP12 prophage; UPF0098 family secreted protein,b0545,
ybcM,2.1478803370633033,18.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ylcH,1.7519263172863027,18.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
quuD,1.6839455986208764,19.0,569411.0,DLP12 prophage; putative antitermination protein,b0551,
essD,1.4564780715130785,19.0,572928.0,DLP12 prophage; putative phage lysis protein,b0554,
borD,1.5504740965253576,19.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
ybcV,2.422926101664784,19.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
ybcW,2.128623724622061,19.0,575488.0,DLP12 prophage; uncharacterized protein,b0559,
ybcY,1.4754500188891964,19.0,577607.0,No_gene_product,b0562,
tfaX,1.9166395302747252,19.0,578560.0,No_gene_product,b0563,
appY,2.6316957444164157,19.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ompT,1.6541988782944383,19.0,580135.0,DLP12 prophage; outer membrane protease VII; outer membrane protein 3b,b0565,
hokE,1.5439843826594208,20.0,603291.0,"toxic polypeptide, small",b4415,
ybdO,1.9565394487111742,21.0,632832.0,putative DNA-binding transcriptional regulator,b0603,
ahpC,1.3149035556499549,21.0,634880.0,"alkyl hydroperoxide reductase, C22 subunit",b0605,
cspE,1.4106284267333333,22.0,652800.0,constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein,b0623,
ybeF,1.364767831477166,22.0,655880.0,LysR family putative transcriptional regulator,b0629,
ybeR,1.493343972432604,23.0,672166.0,uncharacterized protein,b0645,
ybeU,1.6012723067437633,23.0,674963.0,DUF1266 family protein,b0648,
uof,1.4295788612409253,24.0,706094.0,ryhB-regulated fur leader peptide,b4637,
ybfP,1.6059414861988868,25.0,710867.0,lipoprotein,b0689,
ybfK,1.838599344977155,25.0,716288.0,uncharacterized protein,b4590,
kdpF,1.4228690683776382,26.0,724187.0,potassium ion accessory transporter subunit,b4513,frozenset({<Reaction Kabcpp at 0x7fcfa68620f0>})
ybfA,1.3243566780528582,26.0,724589.0,DUF2517 family protein,b0699,
ybfB,2.2691849405713933,26.0,729231.0,putative membrane protein,b0702,
ybfC,1.8546571469974755,26.0,731136.0,putative secreted protein,b0704,
ybfQ,1.8618965645942775,26.0,731900.0,No_gene_product,b4514,
ybfL,1.723718669981307,26.0,733184.0,No_gene_product,b0705,
ybfD,1.5035000992252234,26.0,733547.0,H repeat-associated putative transposase,b0706,
cydX,1.4587134881473038,27.0,769651.0,cytochrome d (bd-I) ubiquinol oxidase subunit X,b4515,
ybhM,1.5777605374139536,28.0,816248.0,BAX Inhibitor-1 family inner membrane protein,b0787,
clpS,1.4676935643506435,29.0,918528.0,regulatory protein for ClpA substrate specificity,b0881,
infA,1.4583825407344262,29.0,921680.0,translation initiation factor IF-1,b0884,
ycaK,1.427128545988154,30.0,945123.0,putative NAD(P)H-dependent oxidoreductase,b0901,
elfA,1.7653959888725812,31.0,993323.0,laminin-binding fimbrin subunit,b0938,
elfD,1.5277532931123488,31.0,993945.0,putative periplasmic pilin chaperone,b0939,
