,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
sgrT,1.2954621545498122,1.0,73874.0,inhibitor of glucose uptake,b4662,
ykgR,1.428178558024217,2.0,308851.0,uncharacterized protein,b4671,
ykgP,1.3125050681683699,2.0,309426.0,No_gene_product,b4630,
ykgQ,1.335881892664638,2.0,313149.0,No_gene_product,b4631,
borD,1.346776905442467,3.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
mrdA,4.163774880633736,4.0,663552.0,"penicillin-binding protein 2, transpeptidase involved in peptidoglycan synthesis",b0635,"frozenset({<Reaction MCTP1App at 0x7fcfa67dbc50>, <Reaction MCTP2App at 0x7fcfa67dbd68>})"
rlmH,3.500182068062205,4.0,663703.0,"23S rRNA m(3)Psi1915 pseudouridine methyltransferase, SAM-dependent",b0636,
rsfS,4.323612493614278,4.0,664174.0,ribosomal silencing factor,b0637,
cobC,3.9776266430488247,4.0,664751.0,putative alpha-ribazole-5'-P phosphatase,b0638,frozenset({<Reaction RZ5PP at 0x7fcfa6630c50>})
nadD,4.332587534560246,4.0,665600.0,"nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent",b0639,"frozenset({<Reaction NNATr at 0x7fcfa676d518>, <Reaction NMNAT at 0x7fcfa675fe10>})"
holA,4.105802784146189,4.0,666029.0,"DNA polymerase III, delta subunit",b0640,
lptE,4.352489401946241,4.0,667060.0,"LPS assembly OM complex LptDE, lipoprotein component",b0641,
leuS,4.110236116591034,4.0,667656.0,leucyl-tRNA synthetase,b0642,frozenset({<Reaction LEUTRS at 0x7fcfa68822b0>})
ybeL,4.158784185947299,4.0,670473.0,DUF1451 family protein,b0643,
ybeQ,4.402019623750903,4.0,671744.0,Sel1 family TPR-like repeat protein,b0644,
ybeR,4.538209250487248,4.0,672166.0,uncharacterized protein,b0645,
djlB,4.558966934245716,4.0,672870.0,"putative HscC co-chaperone, uncharacterized J domain-containing protein",b0646,
ybeT,4.353216220317405,4.0,674307.0,Sel1 family TPR-like repeat protein,b0647,
ybeU,4.308266306955479,4.0,674963.0,DUF1266 family protein,b0648,
djlC,4.232658772357229,4.0,675667.0,J domain-containing HscC co-chaperone; Hsc56,b0649,
hscC,5.28373106526279,4.0,677178.0,Hsp70 family chaperone Hsc62; RpoD-binding transcription inhibitor,b0650,frozenset({<Reaction NTP1 at 0x7fcfa6717160>})
rihA,10.722746594298934,4.0,678932.0,ribonucleoside hydrolase 1,b0651,"frozenset({<Reaction URIH at 0x7fcfa6594748>, <Reaction CYTDH at 0x7fcfa6aa7748>})"
gltL,10.371721870876769,4.0,679985.0,glutamate/aspartate ABC transporter ATPase,b0652,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltK,10.986879097522129,4.0,680710.0,glutamate/aspartate ABC transporter permease,b0653,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltJ,10.045602569207503,4.0,681984.0,glutamate/aspartate ABC transporter permease,b0654,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltI,11.109995428443566,4.0,682294.0,glutamate/aspartate periplasmic binding protein,b0655,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
ldrA,1.384964821893524,5.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.4183344453195816,5.0,1265693.0,"toxic polypeptide, small",b4423,
ydaS,1.3264216229004402,6.0,1414656.0,Rac prophage; putative DNA-binding transcriptional regulator,b1357,
tfaR,1.8225647802241476,7.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ttcC,1.372390333101396,7.0,1429248.0,No_gene_product,b4638,
ydfK,1.7532079768785913,8.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.7534890324836472,8.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
intG,1.2936374314643133,9.0,2006016.0,No_gene_product,b1936,
ypfM,1.2892216015974063,10.0,2584192.0,stress-induced small enterobacterial protein,b4606,
yqcG,1.4135993859724512,11.0,2898944.0,membrane stress resistance protein,b4682,
yqgB,1.3608100500492346,12.0,3079278.0,uncharacterized protein,b2939,
rpsJ,1.3143269839875833,13.0,3446317.0,30S ribosomal subunit protein S10,b3321,
ivbL,1.3054068953657798,14.0,3846249.0,ilvB operon leader peptide,b3672,
ilvL,1.3221943477523683,15.0,3943681.0,ilvG operon leader peptide,b3766,
yjdO,1.3135363513191052,16.0,4342784.0,,,
